State Code,Total  Loans,Avg. Loan Amount,Loan Amount Sum - ALL,Total Purchase Loans,Total Purchase Loans %,Loan Amount Avg - Purchase,Total Loan Amount - Purchase,Total IRRRL Loans,Total IRRRL Loans %,Loan Amount Avg - IRRRL,Total Loan Amount - IRRRL,Total Cash-Out Loans,Total Cash-Out %,Loan Amount Avg - Cash-Out,Total Loan Amount - Cash-Out
Grand Total,"1,246,815","$301,044","$375,346,417,615","428,421",34.36%,"$304,848","$130,603,321,890","662,064",53.10%,"$300,533","$198,971,764,894","156,330",12.54%,"$292,787","$45,771,330,831"
AK,"6,311","$330,315","$2,084,620,252",2525,40.01%,"$340,527","$859,830,931","3,255",51.58%,"$326,340","$1,062,237,686",531,8.41%,"$306,124","$162,551,635"
AL,"23,474","$237,990","$5,586,586,631","9,264",39.46%,"$248,019","$2,297,649,875","11,548",49.19%,"$231,584","$2,674,335,850","2,662",11.34%,"$230,879","$614,600,906"
AR,"9,926","$206,550","$2,050,219,989","4,083",41.13%,"$213,696","$872,519,291","4,728",47.63%,"$204,354","$966,185,945","1,115",11.23%,"$189,699","$211,514,753"
AZ,"54,737","$280,169","$15,335,623,803","15,763",28.80%,"$300,361","$4,734,595,091","31,047",56.72%,"$272,224","$8,451,736,443","7,927",14.48%,"$271,136","$2,149,292,269"
CA,"130,659","$438,986","$57,357,457,686","28,679",21.95%,"$482,754","$13,844,909,514","80,896",61.91%,"$427,845","$34,610,913,855","21,084",16.14%,"$422,199","$8,901,634,317"
CO,"51,305","$355,142","$18,220,584,896","14,650",28.55%,"$388,128","$5,686,075,925","28,696",55.93%,"$342,451","$9,826,980,966","7,959",15.51%,"$340,184","$2,707,528,005"
CT,"5,712","$285,422","$1,630,331,615",2128,37.25%,"$294,421","$626,528,736","2,971",52.01%,"$284,120","$844,120,188",613,10.73%,"$260,494","$159,682,691"
DC,1492,"$587,830","$877,042,808",475,31.84%,"$661,829","$314,368,594",844,56.57%,"$554,904","$468,339,141",173,11.60%,"$545,289","$94,335,073"
DE,"4,672","$278,929","$1,303,158,287",1528,32.71%,"$294,354","$449,772,293",2586,55.35%,"$271,626","$702,423,791",558,11.94%,"$270,542","$150,962,203"
FL,"106,115","$278,577","$29,561,229,594","41,136",38.77%,"$290,832","$11,963,683,218","51,012",48.07%,"$274,316","$13,993,394,894","13,967",13.16%,"$258,048","$3,604,151,482"
GA,"54,776","$250,807","$13,738,209,509","20,911",38.18%,"$259,467","$5,425,712,041","27,245",49.74%,"$247,467","$6,742,248,386","6,620",12.09%,"$237,198","$1,570,249,082"
GU,348,"$388,124","$135,067,160",225,64.66%,"$411,383","$92,561,280",71,20.40%,"$372,476","$26,445,808",52,14.94%,"$308,848","$16,060,072"
HI,"10,795","$578,839","$6,248,562,212",2908,26.94%,"$625,962","$1,820,298,584","6,704",62.10%,"$561,748","$3,765,957,297","1,183",10.96%,"$559,853","$662,306,331"
IA,"6,455","$218,829","$1,412,539,210",2523,39.09%,"$219,418","$553,590,854",3031,46.96%,"$223,243","$676,649,791",901,13.96%,"$202,329","$182,298,565"
ID,"11,619","$285,130","$3,312,926,795","3,799",32.70%,"$313,153","$1,189,669,215","5,367",46.19%,"$272,402","$1,461,979,433","2,453",21.11%,"$269,579","$661,278,147"
IL,"21,975","$244,890","$5,381,462,867","7,976",36.30%,"$246,507","$1,966,139,313","11,659",53.06%,"$247,314","$2,883,430,552","2,340",10.65%,"$227,305","$531,893,002"
IN,"20,335","$211,024","$4,291,180,724","6,665",32.78%,"$222,231","$1,481,172,087","10,848",53.35%,"$209,474","$2,272,377,330","2,822",13.88%,"$190,514","$537,631,307"
KS,"9,047","$222,634","$2,014,172,803","3,784",41.83%,"$221,777","$839,204,142","4,256",47.04%,"$226,229","$962,830,231","1,007",11.13%,"$210,664","$212,138,430"
KY,"13,232","$218,149","$2,886,545,394","4,828",36.49%,"$224,952","$1,086,070,335","6,771",51.17%,"$216,685","$1,467,171,093","1,633",12.34%,"$204,105","$333,303,966"
LA,"12,752","$237,314","$3,026,230,508","4,805",37.68%,"$243,031","$1,167,765,024","6,630",51.99%,"$234,632","$1,555,609,758","1,317",10.33%,"$229,959","$302,855,726"
MA,"11,358","$361,482","$4,105,712,953",2894,25.48%,"$397,908","$1,151,546,824","6,368",56.07%,"$348,731","$2,220,718,138","2,096",18.45%,"$349,927","$733,447,991"
MD,"35,215","$382,114","$13,456,145,946","10,219",29.02%,"$408,486","$4,174,320,603","21,549",61.19%,"$373,629","$8,051,333,110","3,447",9.79%,"$356,975","$1,230,492,233"
ME,"4,447","$240,233","$1,068,317,016",1471,33.08%,"$253,639","$373,103,274",2292,51.54%,"$233,114","$534,296,403",684,15.38%,"$235,259","$160,917,339"
MI,"21,004","$211,346","$4,439,102,561","6,488",30.89%,"$218,797","$1,419,552,503","11,046",52.59%,"$211,887","$2,340,509,071","3,470",16.52%,"$195,689","$679,040,987"
MN,"15,956","$268,300","$4,280,993,283","4,601",28.84%,"$283,852","$1,306,004,284","8,787",55.07%,"$265,040","$2,328,907,001","2,568",16.09%,"$251,590","$646,081,998"
MO,"21,534","$220,052","$4,738,600,027","7,995",37.13%,"$224,360","$1,793,755,478","10,837",50.33%,"$219,199","$2,375,459,886","2,702",12.55%,"$210,727","$569,384,663"
MS,"8,527","$214,764","$1,831,292,748","3,795",44.51%,"$221,341","$839,988,585","3,815",44.74%,"$211,582","$807,186,918",917,10.75%,"$200,782","$184,117,245"
MT,"5,622","$281,724","$1,583,851,445",1965,34.95%,"$298,861","$587,261,516","2,871",51.07%,"$270,978","$777,979,029",786,13.98%,"$278,131","$218,610,900"
NC,"59,387","$245,976","$14,607,758,660","24,011",40.43%,"$251,610","$6,041,409,163","29,353",49.43%,"$243,281","$7,141,022,708","6,023",10.14%,"$236,647","$1,425,326,789"
ND,2521,"$265,093","$668,298,631",999,39.63%,"$266,631","$266,364,432",1227,48.67%,"$265,344","$325,577,236",295,11.70%,"$258,837","$76,356,963"
NE,"7,446","$235,602","$1,754,295,491",2785,37.40%,"$244,102","$679,824,717","3,627",48.71%,"$234,861","$851,840,444","1,034",13.89%,"$215,310","$222,630,330"
NH,"5,037","$297,084","$1,496,413,750",1537,30.51%,"$315,509","$484,936,708",2761,54.81%,"$288,582","$796,775,045",739,14.67%,"$290,530","$214,701,997"
NJ,"12,543","$311,660","$3,909,148,164","4,064",32.40%,"$327,234","$1,329,879,700","6,886",54.90%,"$306,291","$2,109,117,888","1,593",12.70%,"$295,135","$470,150,576"
NM,"9,499","$246,365","$2,340,225,722","3,563",37.51%,"$256,413","$913,598,971","4,723",49.72%,"$240,393","$1,135,374,903","1,213",12.77%,"$240,109","$291,251,848"
NV,"26,529","$318,211","$8,441,816,520","7,756",29.24%,"$343,444","$2,663,752,150","14,934",56.29%,"$308,337","$4,604,704,744","3,839",14.47%,"$305,642","$1,173,359,626"
NY,"10,652","$284,017","$3,025,350,831","4,981",46.76%,"$269,019","$1,339,985,371","3,711",34.84%,"$306,086","$1,135,884,442","1,960",18.40%,"$280,347","$549,481,018"
OH,"29,151","$215,348","$6,277,600,485","10,645",36.52%,"$220,742","$2,349,803,071","14,575",50.00%,"$216,502","$3,155,510,423","3,931",13.48%,"$196,461","$772,286,991"
OK,"14,335","$223,170","$3,199,137,355","6,796",47.41%,"$224,948","$1,528,748,273","5,942",41.45%,"$223,659","$1,328,984,157","1,597",11.14%,"$213,779","$341,404,925"
OR,"21,339","$318,047","$6,786,799,023","5,631",26.39%,"$347,000","$1,953,954,272","11,453",53.67%,"$310,619","$3,557,518,256","4,255",19.94%,"$299,724","$1,275,326,495"
PA,"22,120","$243,091","$5,377,168,625","7,771",35.13%,"$248,382","$1,930,176,908","11,525",52.10%,"$244,271","$2,815,226,652","2,824",12.77%,"$223,713","$631,765,065"
PR,963,"$175,797","$169,292,142",694,72.07%,"$173,269","$120,248,866",144,14.95%,"$191,233","$27,537,514",125,12.98%,"$172,046","$21,505,762"
RI,2504,"$302,684","$757,920,805",798,31.87%,"$331,449","$264,496,104",1323,52.84%,"$290,550","$384,397,208",383,15.30%,"$284,667","$109,027,493"
SC,"31,929","$254,714","$8,132,774,023","12,365",38.73%,"$262,890","$3,250,629,811","15,975",50.03%,"$251,085","$4,011,079,087","3,589",11.24%,"$242,704","$871,065,125"
SD,"3,778","$247,861","$936,417,639",1411,37.35%,"$253,572","$357,790,036",1814,48.01%,"$246,546","$447,234,634",553,14.64%,"$237,600","$131,392,969"
TN,"32,117","$253,840","$8,152,584,899","12,138",37.79%,"$266,734","$3,237,614,582","15,758",49.06%,"$247,569","$3,901,190,041","4,221",13.14%,"$240,175","$1,013,780,276"
TX,"103,707","$275,612","$28,582,891,123","48,902",47.15%,"$281,062","$13,744,508,551","53,313",51.41%,"$269,459","$14,365,645,634","1,492",1.44%,"$316,848","$472,736,938"
UT,"15,210","$326,237","$4,962,064,269","4,163",27.37%,"$357,636","$1,488,840,718","8,206",53.95%,"$313,786","$2,574,925,192","2,841",18.68%,"$316,191","$898,298,359"
VA,"80,418","$366,537","$29,476,203,776","26,764",33.28%,"$373,966","$10,008,821,276","45,726",56.86%,"$363,740","$16,632,362,191","7,928",9.86%,"$357,596","$2,835,020,309"
VI,30,"$432,891","$12,986,720",24,80.00%,"$441,282","$10,590,776",3,10.00%,"$438,604","$1,315,813",3,10.00%,"$360,044","$1,080,131"
VT,1243,"$248,917","$309,403,954",490,39.42%,"$255,645","$125,265,828",587,47.22%,"$245,966","$144,382,060",166,13.35%,"$239,494","$39,756,066"
WA,"52,435","$356,402","$18,687,938,497","14,370",27.41%,"$398,127","$5,721,089,537","29,049",55.40%,"$342,026","$9,935,503,205","9,016",17.19%,"$336,218","$3,031,345,755"
WI,"14,274","$230,199","$3,285,860,476","4,518",31.65%,"$239,323","$1,081,260,539","7,717",54.06%,"$227,490","$1,755,543,809","2,039",14.28%,"$220,234","$449,056,128"
WV,"4,572","$224,704","$1,027,345,743",1891,41.36%,"$226,354","$428,035,086",2094,45.80%,"$226,434","$474,152,580",587,12.84%,"$213,216","$125,158,077"
WY,"3,673","$275,174","$1,010,714,658",1268,34.52%,"$286,917","$363,810,122",1908,51.95%,"$265,829","$507,201,034",497,13.53%,"$281,094","$139,703,502"
